,esp
1025,0.371
1026,0.89
1027,0.1
1028,0.4
1029,1.35
1030,0.405
1031,0.127
1032,1.546
1033,0.587
1034,0.25
1035,0.299
1036,0.016
1037,1.2
1038,0.025
1039,0.06
1040,0.228
1041,0.03
1042,0.36
1043,1.35
1044,0.676
1045,0.637
1046,1.12
1047,1.812
1048,0.51
1049,-0.068
1050,0.155
1051,0.138
1052,0.654
1053,0.144
1054,0.851
1055,0.455
1056,0.39
1057,-0.239
1058,-0.055
1059,0.14
1060,0.291
1061,0.13
1062,0.505
1063,-0.065
1064,0.346
1065,-0.122
1066,2.079
1067,0.057
1068,0.488
1069,0.78
1070,0.096
1071,0.95
1072,0.198
1073,0.174
1074,0.081
1075,0.036
1076,0.417
1077,4.99
1078,1.442
1079,0.498
1080,0.62
1081,0.432
1082,0.393
1083,2.13
1084,0.067
1085,0.61
1086,0.736
1087,0.119
1088,0.485
1089,0.87
1090,0.57
1091,0.733
1092,1.6
1093,0.17
1094,0.69
1095,0.55
1096,0.064
1097,1.0
1098,0.408
1099,0.32
1100,0.192
1101,0.1
1102,0.207
1103,0.171
1104,0.488
1105,1.19
1106,0.35
1107,0.32
1108,0.693
1109,0.819
1110,0.292
1111,0.958
1112,0.14
1113,0.323
1114,0.09
1115,0.685
1116,0.125
1117,0.41
1118,0.64
1119,0.455
1120,0.206
1121,0.656
1122,0.45
1123,1.13
1124,0.64
1125,0.09
1126,1.618
1127,0.3
1128,0.154
1129,0.191
1130,0.033
1131,0.55
1132,0.017
1133,0.096
1134,0.321
1135,0.903
1136,1.105
1137,0.171
1138,0.102
1139,0.184
1140,-0.039
1141,0.439
1142,-0.01
1143,0.066
1144,-0.069
1145,0.084
1146,0.43
1147,0.103
1148,0.195
1149,0.369
1150,0.106
1151,0.144
1152,-0.187
1153,-0.24
1154,0.03
1155,0.551
1156,-0.018
1157,0.148
1158,0.042
1159,0.196
1160,0.134
1161,0.039
1162,1.489
1163,0.224
1164,0.41
1165,0.31
1166,0.212
1167,0.422
1168,0.68
1169,-0.466
1170,0.196
1171,0.063
1172,0.383
1173,0.147
1174,0.139
1175,0.117
1176,0.24
1177,0.22
1178,0.052
1179,0.453
1180,0.093
1181,0.024
1182,0.48
1183,0.384
1184,0.086
1185,0.32
1186,0.147
1187,0.014
1188,0.058
1189,0.154
1190,-0.187
1191,0.052
1192,-0.608
1193,0.47
1194,0.651
1195,0.004
1196,0.082
1197,4.09
1198,0.24
1199,0.046
1200,0.206
1201,0.7
1202,0.013
1203,0.048
1204,0.022
1205,0.174
1206,0.08
1207,0.083
1208,0.18
1209,0.157
1210,-0.3
1211,0.2
1212,0.007
1213,-0.001
1214,0.14
1215,0.069
1216,0.131
1217,0.003
1218,1.16
1219,0.281
1220,0.186
1221,-0.065
1222,0.451
1223,0.013
1224,0.216
1225,0.332
1226,0.29
1227,0.215
1228,0.438
1229,0.277
1230,0.176
1231,0.0
1232,0.19
1233,0.24
1234,0.38
1235,0.67
1236,0.75
1237,0.89
1238,0.568
1239,0.47
1240,0.074
1241,0.38
1242,0.095
1243,0.099
1244,0.18
1245,0.183
1246,0.1
1247,0.32
1248,0.22
1249,0.76
1250,0.516
1251,0.047
1252,-0.022
1253,0.007
1254,0.035
1255,0.318
1256,-0.117
1257,0.359
1258,0.238
1259,0.036
1260,0.069
1261,0.195
1262,0.02
1263,0.44
1264,0.196
1265,0.19
1266,0.078
1267,0.049
1268,0.034
1269,0.115
1270,0.522
1271,0.188
1272,0.069
1273,0.205
1274,0.003
1275,0.115
1276,0.092
1277,-0.602
1278,0.199
1279,0.13
1280,0.109
1281,0.2
1282,1.51
1283,0.383
1284,-0.027
1285,0.364
1286,0.255
1287,0.87
1288,0.47
1289,0.199
1290,0.69
1291,0.151
1292,0.116
1293,0.3
1294,1.077
1295,0.342
1296,0.218
1297,0.13
1298,0.332
1299,0.065
1300,0.03
1301,0.197
1302,0.118
1303,0.25
1304,0.338
1305,0.28
1306,0.112
1307,0.019
1308,0.067
1309,0.037
1310,0.15
1311,0.034
1312,0.068
1313,0.194
1314,1.25
1315,0.363
1316,0.154
1317,0.073
1318,0.023
1319,0.515
1320,-0.318
1321,0.57
1322,0.251
1323,0.011
1324,0.103
1325,0.737
1326,0.136
1327,0.166
1328,0.1
1329,0.068
1330,0.22
1331,0.042
1332,0.04
1333,0.575
1334,0.058
1335,0.092
1336,0.532
1337,0.36
1338,0.048
1339,0.131
1340,0.186
1341,0.373
1342,-0.513
1343,0.069
1344,0.346
1345,0.755
1346,0.096
1347,0.27
1348,0.329
1349,0.044
1350,0.27
1351,0.024
1352,0.29
1353,0.08
1354,0.007
1355,0.327
1356,-0.008
1357,-0.157
1358,0.016
1359,0.082
1360,0.19
1361,0.08
1362,0.03
1363,0.135
1364,0.029
1365,0.114
1366,-0.023
1367,0.027
1368,0.508
1369,-0.048
1370,-0.112
1371,-0.056
1372,-0.036
1373,-0.025
1374,0.37
1375,0.027
1376,0.244
1377,0.237
1378,0.031
1379,0.34
1380,0.03
1381,0.294
1382,0.156
1383,0.241
1384,0.099
1385,0.324
1386,0.254
1387,0.319
1388,0.027
1389,0.45
1390,0.098
1391,0.22
1392,0.1
1393,0.167
1394,-0.07
1395,0.41
1396,0.23
1397,-0.319
1398,0.045
1399,0.246
1400,-0.204
1401,1.22
1402,0.432
1403,0.377
1404,-0.331
1405,0.025
1406,0.06
1407,0.423
1408,0.216
1409,0.229
1410,0.425
1411,0.181
1412,0.104
1413,0.263
1414,0.259
1415,0.21
1416,-0.021
1417,0.147
1418,0.051
1419,0.002
1420,-0.143
1421,1.705
1422,0.129
1423,0.003
1424,-0.068
1425,0.031
1426,0.014
1427,0.104
1428,0.132
1429,0.172
1430,0.06
1431,0.352
1432,0.149
1433,0.027
1434,0.662
1435,0.101
1436,-0.15
1437,0.303
1438,0.33
1439,0.16
1440,0.138
1441,0.58
1442,0.235
1443,0.53
1444,0.11
1445,1.105
1446,0.521
1447,0.183
1448,0.782
1449,0.015
1450,1.28
1451,0.29
1452,1.57
1453,0.235
1454,2.43
1455,0.175
1456,0.53
1457,0.444
1458,0.423
1459,0.047
1460,0.379
1461,0.807
1462,0.569
1463,0.117
1464,1.493
1465,0.183
1466,0.37
1467,0.387
1468,1.33
1469,0.15
1470,0.048
1471,0.458
1472,0.27
1473,0.58
1474,0.242
1475,0.145
1476,0.221
1477,0.576
1478,0.27
1479,0.234
1480,0.079
1481,-0.026
1482,0.29
1483,-0.002
1484,0.636
1485,0.252
1486,-0.078
1487,0.19
1488,0.211
1489,0.642
1490,0.21
1491,0.032
1492,0.29
1493,0.29
1494,0.636
1495,0.156
1496,0.429
1497,0.32
1498,1.04
1499,0.55
1500,0.339
1501,0.582
1502,0.038
1503,0.461
1504,0.33
1505,0.042
1506,0.158
1507,0.334
1508,0.32
1509,0.37
1510,0.186
1511,0.322
1512,0.474
1513,0.141
1514,0.04
1515,0.279
1516,0.153
1517,0.228
1518,0.768
1519,0.08
1520,1.91
1521,0.343
1522,0.015
1523,0.225
1524,0.796
1525,0.266
1526,1.15
1527,0.45
1528,0.198
1529,0.569
1530,0.094
1531,-0.639
1532,-0.016
1533,1.102
1534,0.007
1535,0.76
1536,0.239
1537,0.048
1538,0.327
1539,0.458
1540,0.6
1541,-0.138
1542,0.209
1543,0.84
1544,0.14
1545,1.13
1546,0.12
1547,0.57
1548,0.016
1549,0.199
1550,0.91
1551,0.523
1552,0.24
1553,0.55
1554,0.238
1555,0.883
1556,0.389
1557,0.79
1558,0.033
1559,0.396
1560,1.203
1561,0.273
1562,2.782
1563,-0.036
1564,0.24
1565,0.16
1566,0.378
1567,0.354
1568,0.65
1569,0.323
1570,0.663
1571,0.755
1572,0.331
1573,0.258
1574,0.273
1575,0.33
1576,0.64
1577,0.12
1578,-0.844
1579,-0.052
1580,0.178
1581,0.08
1582,0.213
1583,0.447
1584,0.249
1585,0.016
1586,0.216
1587,0.229
1588,-0.07
1589,1.338
1590,0.048
1591,0.008
1592,0.418
1593,0.045
1594,0.87
1595,0.218
1596,0.252
1597,0.36
