code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
002436,兴森科技,元器件,深圳,36.97,11.99,14.88,447842.75,213567.5,163537.84,985.69,0.01,0.107,1.61,3.27,20100618,82385.61,0.55,14.97,13.66,29.83,6.41,77000.0
300293,蓝英装备,专用机械,辽宁,100.43,2.68,2.7,311533.59,228373.7,25916.17,15907.65,0.59,0.078,2.56,4.1,20120308,19930.46,0.74,494.62,1375.64,27.9,2.44,19890.0
600745,闻泰科技,通信设备,湖北,48.54,4.83,6.37,1212884.13,878732.13,107582.47,237585.41,3.73,0.442,5.48,5.23,19960828,43358.05,0.68,47.87,743.6,8.15,2.24,20858.0
600712,南宁百货,百货,广西,0.0,5.38,5.45,210082.66,59159.3,112366.17,36985.75,0.68,-0.023,1.93,3.71,19960626,8426.03,0.15,-1.64,18.27,15.04,-0.82,26588.0
300677,英科医疗,医疗保健,山东,45.16,0.24,0.98,165823.69,85487.75,63891.05,70667.9,7.19,1.75,11.07,6.02,20170721,29952.25,3.05,47.96,68.61,24.92,8.29,11500.0
600260,凯乐科技,通信设备,湖北,29.66,5.39,7.09,1861819.25,1569580.75,86531.74,211148.47,2.98,1.08,6.63,4.67,20000706,150183.52,2.12,79.78,305.85,11.58,4.89,29400.0
603861,白云电器,电气设备,广东,57.13,1.21,4.43,330498.88,191839.17,83840.68,34267.19,0.77,0.21,4.75,3.1,20160322,103851.28,2.35,25.97,25.38,25.47,8.5,29284.0
002559,亚威股份,机床制造,江苏,36.04,3.03,3.73,226752.55,149969.02,31986.75,80494.46,2.16,0.168,4.23,1.91,20110303,36907.96,0.99,21.21,13.61,26.01,6.56,42264.0
300163,先锋新材,其他建材,浙江,260.53,3.3,4.74,111360.8,48350.69,42052.45,9409.44,0.2,0.014,1.53,3.11,20110113,14400.65,0.3,-8.68,-85.9,45.03,1.26,28794.0
002850,科达利,机械基件,深圳,34.17,0.62,1.4,311385.94,189401.44,60337.82,142198.91,10.16,1.199,16.15,3.38,20170302,65148.36,4.65,0.0,0.0,25.36,14.05,21658.0
603056,德邦股份,仓储物流,上海,45.88,1.0,9.6,608186.88,362515.31,152871.45,0.0,0.0,0.373,3.35,6.8,20180116,183779.47,1.91,0.0,0.0,12.93,2.44,88497.0
603578,三星新材,玻璃,浙江,49.03,0.32,0.88,60204.2,45322.71,8499.15,26175.89,2.97,0.66,5.64,5.47,20170306,12391.67,1.41,9.29,16.04,28.79,18.52,12514.0
002287,奇正藏药,中成药,西藏,47.91,4.06,4.06,218815.13,147608.06,16325.0,41094.12,1.01,0.512,4.62,7.08,20090828,79050.65,1.95,7.66,3.33,87.2,30.08,18633.0
300246,宝莱特,医疗保健,广东,37.04,1.08,1.46,71762.36,41577.01,8291.42,8219.07,0.56,0.384,3.47,5.46,20110719,25304.31,1.73,25.08,9.64,38.04,10.83,19019.0
002242,九阳股份,家用电器,山东,18.7,7.67,7.68,542278.81,362633.03,63689.23,93720.81,1.22,0.702,5.2,3.36,20080528,189108.36,2.46,0.63,-1.38,32.8,10.63,52503.0
300412,迦南科技,医疗保健,浙江,50.42,2.21,2.6,117851.42,84255.43,13512.05,32599.81,1.25,0.17,2.9,3.91,20141231,17466.82,0.67,46.53,1.3,44.3,15.73,12259.0
600282,南钢股份,普钢,江苏,5.86,38.76,44.09,3773544.5,1399291.25,2063391.75,179109.52,0.41,0.79,2.63,1.62,20000919,460324.09,1.04,55.54,804.73,16.34,8.51,146100.0
002738,中矿资源,建筑施工,北京,91.09,1.31,1.92,100794.28,71347.75,20187.77,26822.89,1.39,0.285,3.51,7.4,20141230,40385.6,2.1,50.48,2.59,31.64,10.13,13496.0
002315,焦点科技,互联网,江苏,57.43,1.26,2.35,243664.66,151896.41,2251.41,106821.31,4.55,0.265,7.89,2.57,20091209,36892.25,1.57,111.47,38.69,40.38,6.51,20149.0
000887,中鼎股份,橡胶,安徽,17.38,12.19,12.34,1484711.13,805948.19,258571.59,241154.59,1.95,0.78,5.85,3.05,19981203,351971.97,2.85,31.78,19.09,29.52,12.13,37820.0
000712,锦龙股份,证券,广东,69.32,8.95,8.96,3334105.5,0.0,7979.58,70811.96,0.79,0.217,4.15,3.62,19970415,192005.44,2.14,-46.89,-46.85,0.0,16.54,59300.0
600569,安阳钢铁,普钢,河南,5.61,23.94,23.94,3315275.5,1423027.63,1504104.13,346063.0,1.45,0.669,2.7,1.39,20010820,-120255.86,-0.5,22.61,1198.94,14.29,5.92,131537.0
600284,浦东建设,建筑施工,上海,16.61,6.93,6.93,1117782.13,869153.69,13189.59,226849.92,3.27,0.536,7.97,1.12,20040316,223555.3,3.23,28.54,3.41,12.59,11.38,79600.0
300085,银之杰,软件服务,深圳,331.42,3.92,7.07,224731.95,129883.57,1171.22,37490.94,0.53,0.038,1.89,8.91,20100526,22473.21,0.32,22.35,-46.66,35.71,3.39,55134.0
002654,万润科技,半导体,深圳,35.18,5.04,8.81,423260.94,182914.38,48432.37,127075.61,1.44,0.16,3.14,2.23,20120217,46537.64,0.53,101.24,12.08,18.64,6.38,50964.0
603025,大豪科技,电脑设备,北京,35.8,0.51,4.54,212166.2,165381.61,13215.57,65328.41,1.44,0.88,4.2,7.45,20150422,62619.95,1.38,53.3,66.07,52.33,37.51,18939.0
300551,古鳌科技,专用机械,上海,0.0,0.43,0.73,63212.32,50675.23,5058.06,22942.3,3.13,-0.039,7.13,3.4,20161018,18419.43,2.51,-17.83,-118.63,43.7,-2.21,12502.0
002030,达安基因,生物制药,广东,132.91,6.94,7.25,464179.41,320520.31,41355.8,63146.83,0.87,0.119,2.32,6.84,20040809,22069.1,0.3,-4.35,-18.97,43.14,5.6,92000.0
002573,清新环境,环境保护,北京,18.78,10.69,10.73,1183585.13,574736.88,490355.94,80393.75,0.75,0.575,3.95,3.65,20110422,204205.31,1.9,57.65,23.99,34.16,19.71,93035.0
002466,天齐锂业,小金属,四川,29.19,11.36,11.42,1783985.75,786514.19,146658.05,418974.38,3.67,1.94,9.12,6.01,20100831,361620.06,3.17,40.09,41.86,70.14,39.21,129463.0
300695,兆丰股份,汽车配件,浙江,31.48,0.17,0.67,192413.63,153057.0,19763.13,99665.31,14.95,2.44,23.17,3.32,20170908,41559.45,6.23,0.0,0.0,49.91,26.42,25951.0
600115,东方航空,空运,上海,15.78,98.08,144.68,22746400.0,1829300.0,16313000.0,2676000.0,1.85,0.439,3.67,1.89,19971105,1387900.0,0.96,3.21,40.91,11.24,6.24,221100.0
601139,深圳燃气,供气供热,深圳,15.48,21.84,22.14,1820857.0,455402.31,738612.0,265267.44,1.2,0.358,3.75,1.97,20091225,314164.88,1.42,28.68,5.92,22.82,10.21,23300.0
